SVM,No add,Add 10000,Add 20000,Add 30000,Add 40000,,,,,,,,
,0,0.43,G+S2->G+S2,RF,,,,,,,,,
,0,0.63,G+S2->G+S3,RF,,,,,,,,,
,0,0.51,G+S2->G+T1,RF,,,,,,,,,
,0,0.5,G+S2->G+F,RF,,,,,,,,,
,0,0.48,G+S2->G+R,RF,,,,,,,,,
,0,0.6,G+S3->G+S2,RF,,,,,,,,,
,0,0.47,G+S3->G+S3,RF,,,,,,,,,
,0,0.54,G+S3->G+T1,RF,,,,,,,,,
,0,0.5,G+S3->G+F,RF,,,,,,,,,
,0,0.49,G+S3->G+R,RF,,,,,,,,,
,0,0.51,G+T1->G+S2,RF,,,,,,,,,
,0,0.54,G+T1->G+S3,RF,,,,,,,,,
,0,0.45,G+T1->G+T1,RF,,,,,,,,,
,0,0.57,G+T1->G+F,RF,,,,,,,,,
,0,0.49,G+T1->G+R,RF,,,,,,,,,
,0,0.51,G+F->G+S2,RF,,,,,,,,,
,0,0.49,G+F->G+S3,RF,,,,,,,,,
,0,0.65,G+F->G+T1,RF,,,,,,,,,
,0,0.63,G+F->G+F,RF,,,,,,,,,
,0,0.48,G+F->G+R,RF,,,,,,,,,
,0,0.42,G+R->G+S2,RF,,,,,,,,,
,0,0.41,G+R->G+S3,RF,,,,,,,,,
,0,0.42,G+R->G+T1,RF,,,,,,,,,
,0,0.45,G+R->G+F,RF,,,,,,,,,
,0,0.42,G+R->G+R,RF,,,,,,,,,
,10000,0.61,G+S2->G+S2,RF,,,,,,,,,
,10000,0.94,G+S2->G+S3,RF,,,,,,,,,
,10000,0.69,G+S2->G+T1,RF,,,,,,,,,
,10000,0.68,G+S2->G+F,RF,,,,,,,,,
,10000,0.5,G+S2->G+R,RF,,,,,,,,,
,10000,0.78,G+S3->G+S2,RF,,,,,,,,,
,10000,0.49,G+S3->G+S3,RF,,,,,,,,,
,10000,0.73,G+S3->G+T1,RF,,,,,,,,,
,10000,0.66,G+S3->G+F,RF,,,,,,,,,
,10000,0.52,G+S3->G+R,RF,,,,,,,,,
,10000,0.72,G+T1->G+S2,RF,,,,,,,,,
,10000,0.91,G+T1->G+S3,RF,,,,,,,,,
,10000,0.6,G+T1->G+T1,RF,,,,,,,,,
,10000,0.68,G+T1->G+F,RF,,,,,,,,,
