,add,train,test,micro,macro
95,0,fake,russian,0.810588772250114,0.5858477739542743
96,100,fake,russian,0.8215686274509804,0.6510729637934631
97,200,fake,russian,0.8530927835051546,0.67668765360845
98,300,fake,russian,0.8527173913043479,0.6224229175295748
99,400,fake,russian,0.8459770114942529,0.46915227379320706
100,0,social2,social2,0.9345238095238095,0.9126984126984128
101,100,social2,social2,0.9112169770463405,0.7481292405698453
102,200,social2,social2,0.9257582616568583,0.7627717533658127
103,300,social2,social2,0.9250829777145566,0.7343811777009706
104,400,social2,social2,0.9263315082130413,0.7140268533836033
105,0,social3,social3,0.9561933534743202,0.9334500389981801
106,100,social3,social3,0.9739016963897347,0.881957280755802
107,200,social3,social3,0.9768076398362893,0.8763894598893172
108,300,social3,social3,0.9785612196283945,0.8643521344199906
109,400,social3,social3,0.9799899949974987,0.8578215906342908
110,0,traditional1,traditional1,0.9851190476190477,0.9786452441179088
111,100,traditional1,traditional1,0.9848419229103508,0.9332427982927207
112,200,traditional1,traditional1,0.9846084200995926,0.9256811848896488
113,300,traditional1,traditional1,0.9862494073020389,0.920483074326828
114,400,traditional1,traditional1,0.9855649576903932,0.903887808346407
115,0,russian,russian,0.8452200303490137,0.6863661814109743
116,100,russian,russian,0.9508771929824561,0.7014534503077124
117,200,russian,russian,0.9532110091743119,0.6806108554389231
118,300,russian,russian,0.958173076923077,0.6849752189558015
119,400,russian,russian,0.9590909090909091,0.6654393741851369
120,0,fake,fake,0.9821428571428571,0.9746118100419359
121,100,fake,fake,0.9779125162407969,0.9082400024311619
122,200,fake,fake,0.9755545495699411,0.892747707246898
123,300,fake,fake,0.9758179231863442,0.8750251265039592
124,400,fake,fake,0.975609756097561,0.8567466213413932
